"filename", "language", "JSON with Comments", "TypeScript", "JavaScript", "JSON", "TypeScript JSX", "Markdown", "PostCSS", "Prisma", "YAML", "MS SQL", "comment", "blank", "total"
"c:\Users\ckris\Desktop\Darbai\apms\apps\api\src\auth\dto\register.dto.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31
"c:\Users\ckris\Desktop\Darbai\apms\apps\api\src\auth\dto\update-profile.dto.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\ckris\Desktop\Darbai\apms\apps\api\src\auth\jwt-auth.guard.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\ckris\Desktop\Darbai\apms\apps\api\src\auth\jwt.strategy.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"c:\Users\ckris\Desktop\Darbai\apms\apps\api\src\common\id.ts", "TypeScript", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 54
"c:\Users\ckris\Desktop\Darbai\apms\apps\api\src\main.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"c:\Users\ckris\Desktop\Darbai\apms\apps\api\src\prisma\prisma.module.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\ckris\Desktop\Darbai\apms\apps\api\src\prisma\prisma.service.ts", "TypeScript", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 30
"c:\Users\ckris\Desktop\Darbai\apms\apps\api\src\projects\core\members.service.ts", "TypeScript", 0, 215, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 239
"c:\Users\ckris\Desktop\Darbai\apms\apps\api\src\projects\core\projects.service.ts", "TypeScript", 0, 456, 0, 0, 0, 0, 0, 0, 0, 0, 5, 40, 501
"c:\Users\ckris\Desktop\Darbai\apms\apps\api\src\projects\core\roles.service.ts", "TypeScript", 0, 505, 0, 0, 0, 0, 0, 0, 0, 0, 20, 67, 592
"c:\Users\ckris\Desktop\Darbai\apms\apps\api\src\projects\dto\add-member.dto.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\ckris\Desktop\Darbai\apms\apps\api\src\projects\dto\audit-area.dto.ts", "TypeScript", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 88
"c:\Users\ckris\Desktop\Darbai\apms\apps\api\src\projects\dto\control.dto.ts", "TypeScript", 0, 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 132
"c:\Users\ckris\Desktop\Darbai\apms\apps\api\src\projects\dto\evidence.dto.ts", "TypeScript", 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 129
"c:\Users\ckris\Desktop\Darbai\apms\apps\api\src\projects\dto\finding.dto.ts", "TypeScript", 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 132
"c:\Users\ckris\Desktop\Darbai\apms\apps\api\src\projects\dto\process.dto.ts", "TypeScript", 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 104
"c:\Users\ckris\Desktop\Darbai\apms\apps\api\src\projects\dto\project.dto.ts", "TypeScript", 0, 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 158
"c:\Users\ckris\Desktop\Darbai\apms\apps\api\src\projects\dto\role.dto.ts", "TypeScript", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 53
"c:\Users\ckris\Desktop\Darbai\apms\apps\api\src\projects\dto\test-step.dto.ts", "TypeScript", 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 111
"c:\Users\ckris\Desktop\Darbai\apms\apps\api\src\projects\dto\transfer-ownership.dto.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\ckris\Desktop\Darbai\apms\apps\api\src\projects\permissions.service.ts", "TypeScript", 0, 454, 0, 0, 0, 0, 0, 0, 0, 0, 6, 62, 522
"c:\Users\ckris\Desktop\Darbai\apms\apps\api\src\projects\projects.controller.ts", "TypeScript", 0, 239, 0, 0, 0, 0, 0, 0, 0, 0, 30, 39, 308
"c:\Users\ckris\Desktop\Darbai\apms\apps\api\src\projects\projects.module.ts", "TypeScript", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 59
"c:\Users\ckris\Desktop\Darbai\apms\apps\api\src\projects\report.service.ts", "TypeScript", 0, 568, 0, 0, 0, 0, 0, 0, 0, 0, 7, 119, 694
